PC Name,Caste,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Year
Karnal,SC,Haryana,Arvind Kumar Sharma,Indian National Congress,1240344,818605,66,164762,20.1,2004
Karol Bagh,GEN,Delhi,Krishna Tirath,Indian National Congress,505236,249184,49.3,37629,15.1,2004
Karur,GEN,Tamil Nadu,"Palanisamy, K. C.",Dravida Munetra Kazhagam,1069359,742800,69.5,190876,25.7,2004
Kasaragod,GEN,Kerala,P. Karunakaran,Communist Party Of India (Marxist),1160134,898746,77.5,108256,12,2004
Katihar,GEN,Bihar,Nikhil Kumar Choudhary,Bharatiya Janta Party,1158042,704422,60.8,2565,0.4,2004
Katwa,GEN,West Bengal,Mahboob Zahedi,Communist Party Of India (Marxist),1169525,963689,82.4,143349,14.9,2004
Kendrapara,ST,Orissa,Archana Nayak,Biju Janata Dal,1186834,836194,70.5,86843,10.4,2004
Keonjhar,ST,Orissa,Ananta Nayak,Bharatiya Janta Party,1183472,814619,68.8,49209,6,2004
Khagaria,GEN,Bihar,Rabindra Ku. Rana,Rashtriya Janata Dal,1196971,675969,56.5,67123,9.9,2004
Khajuraho,SC,Madhya Pradesh,"Dr. Ramkrishna Kushmariya "" Baba Jee """,Bharatiya Janta Party,1552876,771830,49.7,111781,14.5,2004
Khalilabad,SC,Uttar Pradesh,Bhalchandra Yadava,Bahujan Samaj Party,1397045,700982,50.2,27023,3.9,2004
Khammam,GEN,Andhra Pradesh,Renuka Chowdhury,Indian National Congress,1298614,1020523,78.6,108888,10.7,2004
Khandwa,GEN,Madhya Pradesh,Nand Kumar Singh Chauhan ( NANDU BHAIYA),Bharatiya Janta Party,1217726,605099,49.7,102737,17,2004
Khargone,ST,Madhya Pradesh,Krishna Murari Moghe,Bharatiya Janta Party,1287299,651747,50.6,58617,9,2004
Khed,SC,Maharashtra,Adhalarao Patil Shivajirao,Shiv Sena,1319319,731759,55.5,20810,2.8,2004
Kheri,GEN,Uttar Pradesh,Ravi Prakash Verma,Samajwadi Party,1437563,706706,49.2,11760,1.7,2004
Khunti,ST,Jharkhand,Sushila Kerketta,Indian National Congress,904846,490772,54.2,51226,10.4,2004
Khurja,GEN,Uttar Pradesh,Ashok Kumar Pradhan,Bharatiya Janta Party,1457828,601160,41.2,41150,6.8,2004
Kishanganj,SC,Bihar,Taslimuddin,Rashtriya Janata Dal,1278476,813315,63.6,160497,19.7,2004
Kodarma,GEN,Jharkhand,Babulal Marandi,Bharatiya Janta Party,1325734,825697,62.3,154944,18.8,2004
Kokrajhar,ST,Assam,Sansuma Khunggur Bwiswmuthiary,Independent,1216553,966915,79.5,484129,50.1,2004
Kolaba,GEN,Maharashtra,Barrister A. R. Antulay,Indian National Congress,1250272,791940,63.3,31870,4,2004
Kolar,GEN,Karnataka,K.H. Muniyappa,Indian National Congress,1262765,907296,71.9,11635,1.3,2004
Kolhapur,GEN,Maharashtra,Mandlik Sadashivrao Dadoba,Nationalist Congress Party,1162212,811534,69.8,14753,1.8,2004
Kopargaon,GEN,Maharashtra,E. V. Alias Balasaheb Vikhe Patil,Indian National Congress,1077519,666950,61.9,87331,13.1,2004
Koppal,SC,Karnataka,K. Virupaxappa,Indian National Congress,1413496,892586,63.2,43623,4.9,2004
Koraput,ST,Orissa,Giridhar Gamang,Indian National Congress,1139590,735544,64.5,43267,5.9,2004
Kota,GEN,Rajasthan,Raghuveer Singh Koshal,Bharatiya Janta Party,1327073,578740,43.6,71778,12.4,2004
